Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0006000000089443347,0.0010000000000047748,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,12.17160000000895,65.33910000000894,space,53.10410000000894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,65.366,355,0,68.93810000000896,355,s,3.526899999991059,,72.54110000000894,73.03760000000894,72.025700000003,72.54070000000299,69.94690000000595,72.02540000000597,73.03790000000596,73.53750000000001,73.53790000000596,84.29710000000894,167,84.29770000000299,1,85.287700000003,0,0,0,1,1,1,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,85.28890000000597,313,0,85.29379999999703,313,,,,89.04520000000299,89.53750000000001,88.53000000000002,89.045,86.2915,88.52979999999702,89.53760000000894,90.03760000000894,90.03790000000596,92.79640000000596,2267,92.79660000000895,5,93.78760000000894,0,1,1,17,1,1.2,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,93.78820000000299,345,0,93.78850000000001,345,,,,97.56279999999701,98.05400000000002,97.06179999999704,97.56250000000001,94.78940000000595,97.06160000000894,98.05420000000298,98.55679999999704,98.55679999999704,102.67900000000002,3716,102.67920000000298,5,103.67140000000596,0,2,2,2,1,1.2,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,103.67290000000595,186,0,103.6735,186,,,,107.04299999999999,107.537700000003,106.52360000000895,107.04100000000001,104.68040000000597,106.5235,107.537700000003,108.03860000000894,108.03879999999704,110.34060000000893,2214,110.34129999999702,5,111.33890000000598,0,3,3,25,1,0.8,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,111.33970000000299,61,0,111.34000000000002,61,,,,115.29110000000894,115.789,114.77429999999701,115.29079999999702,112.34040000000597,114.77400000000002,115.789,116.289,116.28910000000896,116.75779999999703,229,116.758,1,117.75429999999703,0,4,4,28,1,1.4,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,117.75540000000596,155,0,117.75590000000598,155,,,,121.11310000000894,121.60410000000896,120.61140000000596,121.11290000000598,118.763700000003,120.61110000000896,121.60420000000299,122.1075,122.10770000000299,126.34520000000298,3848,126.3455,5,127.337200000003,0,5,5,5,1,0.8,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,127.33770000000298,112,0,127.338200000003,112,,,,131.29020000000298,131.78760000000892,130.77429999999703,131.289799999997,128.34050000000002,130.77420000000296,131.78770000000299,132.28779999999705,132.288,146.69010000000895,3351,146.69040000000598,5,147.68760000000896,0,6,6,8,1,1.4,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,147.688799999997,40,0,147.68920000000298,40,,,,151.241200000003,151.73729999999705,150.72370000000296,151.24099999999999,148.689900000006,150.72340000000594,151.73740000000595,152.23729999999705,152.23740000000595,156.406700000003,3420,156.40690000000598,5,157.404799999997,0,7,7,6,1,1,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,157.40570000000298,319,0,157.40620000000297,319,,,,161.57510000000894,162.070700000003,161.05660000000893,161.57490000000598,158.40760000000893,161.056299999997,162.070799999997,162.570700000003,162.570799999997,166.10899999999998,3037,166.109299999997,5,167.105900000006,0,8,8,19,1,1.6,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,167.106799999997,149,0,167.10710000000893,149,,,,170.890299999997,171.3875,170.37400000000002,170.89010000000894,168.107200000003,170.373799999997,171.38760000000894,171.88760000000894,171.88779999999701,172.44210000000896,137,172.442400000006,1,173.438200000003,0,9,9,22,1,1.2,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,173.43890000000596,267,0,173.43910000000892,267,,,,176.79510000000897,177.28950000000003,176.27940000000598,176.79500000000002,174.44140000000596,176.27929999999702,177.28950000000003,177.78750000000002,177.78760000000892,180.79640000000597,2615,180.79660000000894,5,181.79279999999704,0,10,10,15,1,0.8,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,181.79329999999703,234,0,181.79360000000895,234,,,,185.96179999999703,186.45620000000298,185.44600000000003,185.96160000000896,182.795900000006,185.445799999997,186.45629999999704,186.95410000000896,186.95429999999703,190.89610000000897,3448,190.89629999999704,5,191.89260000000894,0,11,11,29,1,1.6,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,191.893200000003,128,0,191.89350000000002,128,,,,195.87840000000597,196.37090000000597,195.3625,195.87810000000894,192.89610000000897,195.36229999999705,196.37090000000597,196.87100000000004,196.87110000000894,201.730400000006,4500,201.73060000000896,5,202.725900000006,0,12,12,13,1,1.4,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,202.726700000003,77,0,202.72690000000597,77,,,,206.496200000003,206.98970000000298,205.97900000000004,206.49600000000004,203.729200000003,205.97860000000895,206.98970000000298,207.48779999999704,207.48779999999704,212.42960000000897,4532,212.42979999999704,5,213.420900000006,0,13,13,27,1,1.2,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,213.421700000003,79,0,213.422200000003,79,,,,216.812,217.30860000000894,216.29560000000896,216.811700000003,214.43,216.29529999999704,217.30860000000894,217.80910000000898,217.80910000000898,222.47860000000895,4464,222.47879999999702,5,223.47070000000298,0,14,14,0,1,0.8,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,223.47240000000596,1,0,223.47279999999705,1,,,,227.04560000000896,227.53760000000898,226.5285,227.0455,224.48010000000897,226.52810000000898,227.53770000000299,228.03779999999705,228.03779999999705,238.28979999999706,3106,238.29010000000898,5,239.28710000000893,0,15,15,16,1,1,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,239.288,158,0,239.28829999999704,158,,,,242.878200000003,243.3705,242.36210000000898,242.87790000000598,240.28950000000003,242.36190000000596,243.37060000000895,243.87079999999702,243.87100000000004,246.46429999999702,2217,246.46450000000004,5,247.454,0,16,16,11,1,1,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,247.45510000000894,9,0,247.45560000000899,9,,,,251.640299999997,252.13710000000896,251.12479999999704,251.640200000003,248.456900000006,251.12460000000897,252.13720000000302,252.63750000000005,252.63760000000894,256.939700000003,3917,256.94,5,257.937400000006,0,17,17,24,1,1.6,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,257.93810000000894,228,0,257.938299999997,228,,,,262.12510000000896,262.621900000006,261.62350000000004,262.124900000006,258.944200000003,261.623200000003,262.622,263.12129999999706,263.12140000000596,267.728799999997,4308,267.72900000000004,5,268.720900000006,0,18,18,4,1,1.6,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,268.721700000003,44,0,268.72210000000894,44,,,,272.30679999999705,272.803700000003,271.79610000000895,272.3065,269.728799999997,271.79579999999703,272.803700000003,273.30529999999703,273.305400000006,282.74100000000004,4517,282.74140000000597,5,283.73690000000596,0,19,19,21,1,1,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,283.737400000006,312,0,283.73779999999704,312,,,,287.8915,288.386900000006,287.390200000003,287.89129999999705,284.740700000003,287.39000000000004,288.387,288.887200000003,288.887400000006,293.2585,4036,293.258900000006,5,294.254100000009,0,20,20,9,1,1.6,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,294.254900000006,1,0,294.255200000003,1,,,,298.04060000000896,298.53700000000003,297.525600000009,298.040400000006,295.2585,297.52529999999706,298.53710000000893,299.036799999997,299.03690000000597,305.640299999997,2919,305.640600000009,5,306.63710000000896,0,21,21,12,1,1.2,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,306.63790000000597,156,0,306.63810000000893,156,,,,310.023700000003,310.5205,309.50629999999705,310.0235,307.639700000003,309.506100000009,310.5205,311.02029999999706,311.02040000000596,315.75840000000596,4150,315.7585,5,316.75379999999706,0,22,22,20,1,0.8,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,316.7545,156,0,316.75479999999703,156,,,,320.706100000009,321.203700000003,320.191200000003,320.70590000000595,317.75600000000003,320.19090000000597,321.203700000003,321.7045,321.7045,326.22329999999704,3982,326.22360000000896,5,327.22040000000595,0,23,23,18,1,1.4,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,327.220900000006,62,0,327.221200000003,62,,,,330.77510000000893,331.27040000000596,330.259900000006,330.77490000000597,328.2235,330.259700000003,331.27040000000596,331.77029999999706,331.77040000000596,336.123299999997,4033,336.12390000000596,5,337.120400000006,0,24,24,26,1,1,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,337.12110000000894,152,0,337.12140000000596,152,,,,341.30810000000895,341.80400000000003,340.791400000006,341.307900000006,338.12390000000596,340.790900000006,341.804200000003,342.30379999999707,342.30390000000597,353.424600000009,3273,353.424900000006,5,354.420700000003,0,25,25,14,1,1.6,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,354.42160000000894,271,0,354.42179999999706,271,,,,358.19050000000004,358.68679999999705,357.674200000003,358.190299999997,355.423400000006,357.67400000000004,358.68679999999705,359.187,359.18710000000897,363.2395,3633,363.23979999999705,5,364.237,0,26,26,7,1,1.2,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,364.237900000006,21,0,364.238299999997,21,,,,367.611400000006,368.10360000000895,367.10660000000894,367.611299999997,365.24179999999706,367.10610000000895,368.103700000003,368.60400000000004,368.604200000003,372.507400000006,3549,372.507700000003,5,373.50340000000597,0,27,27,10,1,0.8,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,373.504,244,0,373.50429999999704,244,,,,377.4895,377.987,376.972700000003,377.489200000003,374.507900000006,376.97240000000596,377.987200000003,378.486700000003,378.48679999999706,382.322700000003,3520,382.32300000000004,5,383.320400000006,0,28,28,3,1,1.4,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,383.321100000009,340,0,383.32129999999705,340,,,,387.30679999999705,387.8045,386.79150000000004,387.306700000003,384.322900000006,386.790900000006,387.8045,388.30390000000597,388.30400000000003,393.125400000006,4468,393.12560000000894,5,394.12,0,29,29,23,1,1.4,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,394.120799999997,294,1,397.61679999999706,294,s,3.451400000005947,,401.606299999997,402.10410000000894,401.0955,401.606,398.62890000000596,401.095200000003,402.104200000003,402.60360000000895,402.603700000003,407.991200000003,5034,407.99150000000003,5,408.003700000003,1,0,30,3,1,1.4,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,408.004200000003,110,1,408.006600000009,110,,,,411.37550000000005,411.87129999999706,410.873700000003,411.375200000003,409.007400000006,410.873400000006,411.87129999999706,412.37129999999706,412.37140000000596,416.555900000006,3818,416.55610000000894,5,416.571100000009,1,1,31,0,1,0.8,0.3,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,416.57210000000896,164,1,416.572799999997,164,,,,420.139799999997,420.63679999999704,419.623299999997,420.13960000000895,417.57460000000896,419.62300000000005,420.636900000006,421.13679999999704,421.136900000006,425.4245,3969,425.424700000003,5,425.44100000000003,1,2,32,16,1,1,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,425.442,304,1,425.44260000000895,304,,,,429.405900000006,429.90360000000896,428.88960000000895,429.405600000009,426.441200000003,428.889400000006,429.90360000000896,430.403700000003,430.40379999999703,434.262700000003,3565,434.26300000000003,5,434.27629999999704,1,3,33,8,1,1.4,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,434.27779999999706,29,1,434.2785,29,,,,438.44550000000004,438.941100000009,437.928299999997,438.445299999997,435.2805,437.92810000000895,438.941100000009,439.441200000003,439.44129999999706,445.01250000000005,5117,445.012799999997,5,445.026400000006,1,4,34,19,1,1.6,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,445.026900000006,298,1,445.02720000000295,298,,,,448.39410000000896,448.88700000000006,447.877600000009,448.39390000000594,446.0285,447.87729999999704,448.887100000009,449.39150000000006,449.3916000000089,455.748299999997,5942,455.74870000000305,5,455.7635,1,5,35,5,1,0.8,0.7,Time
,,421766,001,男,34,2025-06-04_14h00.24.351,Serial_Dependence_U,2023.2.3,Win32,60.24096385545337,,,,,,455.764,301,1,455.76410000000897,301,,,,459.945299999997,460.43710000000897,459.43260000000896,459.94520000000296,456.762799999997,459.43240000000594,460.43720000000303,460.941600000009,460.941799999997,466.51260000000894,5283,466.5132000000031,5,466.527900000006,1,6,36,24,1,1.6,0.3,Time
