Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001999998092649946,0.00029999971389571556,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,127.88859999990463,361.8695999999046,space,233.96079999971388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,361.8775999999046,133,0,366.38490000009534,133,s,4.48559999990465,,369.93379999971387,370.43319999980923,369.4196999998092,369.9335999999046,367.38679999971384,369.4195999999046,370.4332999997139,370.93399999999997,370.9340999999046,382.89740000009533,145,382.89759999990457,1,383.89679999971383,0,0,0,6,1,1,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,383.8972999997139,23,0,383.8985999999046,23,,,,387.48069999980925,387.97840000009535,386.9649000000953,387.4805999999046,384.89890000009535,386.9647999997139,387.97849999999994,388.4780999999046,388.47819999980925,398.12629999971386,125,398.1264000000953,1,399.12519999980924,0,1,1,11,1,1,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,399.1255999999046,356,0,399.1259000000953,356,,,,403.31129999971387,403.8070999999046,402.7944000000953,403.31129999971387,400.1285,402.79429999971387,403.8071999998092,404.30699999999996,404.3070999999046,409.35819999980924,166,409.35819999980924,1,410.35529999971385,0,2,2,24,1,1.6,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,410.35569999980925,248,0,410.35579999971384,248,,,,414.33799999999997,414.83759999990457,413.82379999971386,414.3379000000953,411.3576999998092,413.82379999971386,414.83759999990457,415.3375,415.33759999990457,418.52240000009533,200,418.52240000009533,1,419.51929999971384,0,3,3,23,1,1.4,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,419.5197999997139,148,0,419.51990000009533,148,,,,423.30229999971385,423.8015,422.7879000000953,423.3021999998092,420.5222999997139,422.7879000000953,423.8015,424.30199999999996,424.30199999999996,427.70329999971386,200,427.70329999971386,1,428.70019999980923,0,4,4,12,1,1.2,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,428.70059999990457,224,0,428.7006999998092,224,,,,432.26879999971385,432.76579999971386,431.7519000000953,432.2686999998092,429.71919999980923,431.7519000000953,432.76599999999996,433.26599999999996,433.2660999999046,465.99269999980925,200,465.99279999971384,1,466.98949999999996,0,5,5,26,1,1,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,466.9899000000953,336,0,466.9900999999046,336,,,,470.93929999971385,471.4384000000953,470.4246999998092,470.9391999998092,467.99159999990457,470.4245999999046,471.4385,471.9382999997139,471.9384000000953,475.55409999990457,192,475.5544000000953,1,476.5535,0,6,6,8,1,1.4,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,476.5539000000953,201,0,476.554,201,,,,480.1384000000953,480.6359000000953,479.6214000000953,480.1381999998092,477.5535,479.62129999971387,480.6359000000953,481.13599999999997,481.13599999999997,483.935,161,483.935,1,484.9345,0,7,7,21,1,1,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,484.9349000000953,101,0,484.9350999999046,101,,,,488.3039000000954,488.80000000000007,487.803,488.3037999997139,485.93679999971386,487.8029000000954,488.80000000000007,489.30019999980925,489.30019999980925,579.678,167,579.678,1,580.6745,0,8,8,10,1,0.8,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,580.6749000000954,20,0,580.6750000000001,20,,,,584.2754000000954,584.7732999997139,583.7595,584.2754000000954,581.6941999998093,583.7595,584.7732999997139,585.273,585.2730999999046,585.793,218,585.793,1,586.789,0,9,9,1,1,1,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,586.7894000000954,114,0,586.7895999999047,114,,,,590.1742999997139,590.6714000000953,589.6577999997139,590.1741999998093,587.7920999999046,589.6577999997139,590.6714000000953,591.1716999998093,591.1719000000954,592.9046999998093,235,592.9046999998093,1,593.904,0,10,10,0,1,0.8,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,593.9045,74,0,593.9045999999047,74,,,,597.9059000000954,598.4027999997139,597.3887999997139,597.9059000000954,594.9230999999046,597.3887999997139,598.403,598.9024000000954,598.9024000000954,600.3547999997139,200,600.3549000000954,1,601.3517999997139,0,11,11,13,1,1.4,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,601.3522999997139,237,0,601.3522999997139,237,,,,604.7012999997139,605.2007999997139,604.1875,604.7011999998093,602.3540999999046,604.1874000000954,605.2007999997139,605.7011999998093,605.7011999998093,606.5674000000954,227,606.5674000000954,1,607.5666999998093,0,12,12,5,1,0.8,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,607.5671999998093,308,0,607.5672999997139,308,,,,611.3195000000001,611.8156999998092,610.8015999999046,611.3194000000954,608.57,610.8015999999046,611.8156999998092,612.3154000000953,612.3154000000953,612.9675999999047,216,612.9675999999047,1,613.9655999999046,0,13,13,7,1,1.2,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,613.966,129,0,613.9660999999046,129,,,,617.9475,618.4474000000954,617.4332999997139,617.9474000000954,614.9666999998093,617.4331999998093,618.4474000000954,618.9469000000954,618.947,619.9801999998093,208,619.9802999997139,1,620.9796999998093,0,14,14,3,1,1.4,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,620.9801999998093,89,0,620.9804000000954,89,,,,625.1476999998093,625.6449000000954,624.6315999999047,625.1476999998093,621.9986999998093,624.6315000000001,625.6449000000954,626.1451999998093,626.1451999998093,627.563,185,627.563,1,628.561,0,15,15,9,1,1.6,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,628.5615,195,0,628.5615,195,,,,632.1125000000001,632.6097999997139,631.5959000000954,632.1124000000954,629.5631999998093,631.5959000000954,632.6097999997139,633.1096999998093,633.1097999997139,634.6784000000954,205,634.6785,1,635.6754000000954,0,16,16,16,1,1,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,635.675799999714,276,0,635.675799999714,276,,,,639.0439000000954,639.5409000000953,638.5277999997139,639.0439000000954,636.6945000000001,638.5276999998093,639.541,640.040799999714,640.0409000000953,641.3766999998093,200,641.3766999998093,1,642.3736999998093,0,17,17,25,1,0.8,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,642.3740999999046,203,0,642.3741999998093,203,,,,646.559,647.0556999998092,646.0565999999046,646.5587999997139,643.3925999999046,646.0564000000954,647.0556999998092,647.5557999997139,647.5559000000953,648.524,216,648.5240999999047,1,649.5215999999047,0,18,18,14,1,1.6,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,649.5219000000953,255,0,649.5220999999046,255,,,,653.4892999997139,653.9876999998093,652.9725,653.4891999998093,650.5410999999046,652.9725,653.987799999714,654.4869000000954,654.487,662.0877999997139,3750,662.0877999997139,5,663.0847999997139,0,19,19,28,1,1.4,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,663.0852999997139,244,0,663.0854000000954,244,,,,667.2531999998092,667.7497999997139,666.7505999999047,667.2531999998092,664.0851999998093,666.7505,667.7499000000954,668.2502999997139,668.2504000000954,671.9515999999046,2229,671.9515999999046,5,672.9484000000954,0,20,20,4,1,1.6,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,672.948799999714,320,0,672.9490000000001,320,,,,676.3310999999046,676.8305999999046,675.8167999997139,676.3310999999046,673.9507999997139,675.8166999998093,676.8305999999046,677.3305999999046,677.3305999999046,680.7162999997139,2900,680.7162999997139,5,681.7135000000001,0,21,21,20,1,0.8,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,681.7139000000954,332,0,681.7140999999046,332,,,,685.8640999999046,686.3612999997139,685.3484000000954,685.864,682.7152999997139,685.3484000000954,686.3612999997139,686.8611999998093,686.8612999997139,690.4965999999047,3299,690.4965999999047,5,691.4932999997139,0,22,22,29,1,1.6,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,691.4936999998093,18,0,691.4937999997139,18,,,,695.4425,695.9420999999046,694.9282999997139,695.4424000000954,692.4955,694.9281999998093,695.9421999998093,696.4419000000954,696.4419000000954,697.0944000000953,133,697.0944000000953,1,698.092,0,23,23,18,1,1.4,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,698.0924000000954,51,0,698.0925,51,,,,701.8430999999047,702.3402999997139,701.3245000000001,701.843,699.0936999998092,701.3245000000001,702.3402999997139,702.8400999999046,702.8400999999046,706.7585,3049,706.7585,5,707.7560999999047,0,24,24,17,1,1.2,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,707.7565999999047,105,0,707.7566999998093,105,,,,711.49,711.9875999999047,710.9885,711.4899000000954,708.757299999714,710.9884000000953,711.9875999999047,712.487299999714,712.487299999714,716.6391999998093,3399,716.6391999998093,5,717.6359000000954,0,25,25,27,1,1.2,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,717.6361999998093,114,0,717.6364000000954,114,,,,721.4185999999047,721.9185,720.9042999997139,721.4185999999047,718.6361999998093,720.9041999998093,721.9185999999047,722.418,722.4180999999046,726.4364000000954,3466,726.4364000000954,5,727.4337999997139,0,26,26,22,1,1.2,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,727.4341999998093,278,0,727.434299999714,278,,,,731.5847999997139,732.0824000000954,731.0826999998093,731.5846999998092,728.4515,731.0825999999047,732.0824000000954,732.5817999997139,732.5819000000954,737.2665999999047,717,737.266799999714,1,738.2634000000954,0,27,27,19,1,1.6,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,738.2639000000954,181,0,738.264,181,,,,742.0654000000953,742.5624000000954,741.5485,742.065299999714,739.2825,741.5482999997139,742.5625,743.0621999998093,743.0621999998093,747.0470999999046,3366,747.0470999999046,5,748.0440999999047,0,28,28,2,1,1.2,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,748.0445999999047,326,0,748.0446999998093,326,,,,751.3935999999046,751.8935,750.8791999998093,751.3935,749.0465,750.8791999998093,751.8935,752.3929000000954,752.393,756.2949000000954,3252,756.2950000000001,5,757.2915,0,29,29,15,1,0.8,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,757.2919000000954,203,1,767.0265999999046,203,s,9.697300000190694,,770.6065999999047,771.1041999998093,770.0905,770.6065999999047,768.0245,770.0905,771.1041999998093,771.6042999997139,771.6044000000954,775.5061999998093,3516,775.5062999997139,5,775.5105,1,0,30,11,1,1,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,775.5105999999047,154,1,775.5114000000954,154,,,,778.8880999999046,779.3851999998093,778.3860999999047,778.8880999999046,776.5220999999046,778.386,779.3852999997139,779.8852999997139,779.8852999997139,783.9870999999047,3632,783.9870999999047,5,783.9911999998093,1,1,31,0,1,0.8,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,783.9914000000954,322,1,783.9914000000954,322,,,,788.169,788.6661999998092,787.6522999997139,788.169,784.9844000000954,787.6521999998092,788.6662999997139,789.165799999714,789.165799999714,793.0177999997139,3432,793.0179000000954,5,793.022,1,2,32,4,1,1.6,0.3,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,793.0220999999046,242,1,793.0221999998092,242,,,,796.3661999998093,796.8657999997139,795.8491999998092,796.3660999999047,794.0171999998092,795.8490999999046,796.8657999997139,797.3640999999046,797.3641999998093,799.6991999998093,1816,799.6991999998093,5,799.7035,1,3,33,25,1,0.8,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,799.7035999999047,59,1,799.7035999999047,59,,,,803.4321999998093,803.9289000000954,802.9315999999046,803.4321999998093,800.699299999714,802.9315,803.929,804.4281999998093,804.4282999997139,807.647,2666,807.647,5,807.6510000000001,1,4,34,17,1,1.2,0.7,Time
,,101109,001,女,20,2025-06-02_18h24.42.049,Serial_Dependence_U,2023.2.3,Win32,59.88023952095548,,,,,,807.6511999998093,35,1,807.651299999714,35,,,,811.2125,811.7095999999046,810.696,811.2125,808.6632999997139,810.6959000000954,811.7095999999046,812.209299999714,812.2094000000953,815.1280999999046,2483,815.1282999997139,5,815.1324000000953,1,5,35,26,1,1,0.7,Time
