Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0000999999045916411,0.00020000004764142432,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,76.12529999995229,179.9422000000477,space,103.79949999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,179.95349999999996,36,0,215.69600000000003,36,s,35.73369999980923,,219.27199999999993,219.77199999999993,218.76729999995234,219.27199999999993,216.70270000004768,218.76709999990464,219.77229999995234,220.27209999990464,220.27259999990463,227.10370000004764,3104,227.10379999995234,5,228.10370000004764,0,0,0,21,1,1,0.3,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,228.10439999985692,54,0,228.1057000000477,54,,,,231.84389999985694,232.34239999985698,231.33879999995224,231.84389999985694,229.10439999985692,231.33870000004765,232.34239999985698,232.8413999998569,232.8417999999523,237.84299999999996,3710,237.84309999990467,5,238.84009999990462,0,1,1,17,1,1.2,0.7,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,238.8405999999046,242,0,238.8407999999523,242,,,,242.18059999990464,242.6782000000477,241.67529999995224,242.18029999995235,239.84209999990458,241.67520000004765,242.6782000000477,243.1780999999046,243.1780999999046,244.0235999999046,11,244.0235999999046,1,245.02229999995234,0,2,2,25,1,0.8,0.7,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,245.02250000000004,219,0,245.02259999990463,219,,,,248.9655999999046,249.4655999999046,248.46029999995233,248.9655999999046,246.02779999995232,248.46029999995233,249.46570000004772,249.96570000004772,249.96570000004772,253.65489999985698,2904,253.65499999999997,5,254.6535999999046,0,3,3,18,1,1.4,0.7,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,254.6542000000477,208,0,254.65449999999998,208,,,,258.81949999999995,259.31949999999995,258.3162000000476,258.81939999985696,255.65459999990458,258.3160999999046,259.31959999990465,259.81909999990467,259.81909999990467,263.3035999999046,3243,263.3037000000477,5,264.30120000004763,0,4,4,4,1,1.6,0.3,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,264.3013999998569,19,0,264.30150000000003,19,,,,267.8418999998569,268.33920000004764,267.3357000000476,267.8417999999523,265.3028999998569,267.3355999999046,268.33929999995235,268.83929999995235,268.83939999985694,273.72370000004764,3717,273.72370000004764,5,274.7215999999046,0,5,5,6,1,1,0.7,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,274.7220999999046,106,0,274.722399999857,106,,,,278.68399999999997,279.1815,278.1832000000477,278.68379999995227,275.72229999995227,278.1832000000477,279.1815999999046,279.6813999998569,279.6815,284.84859999990465,4087,284.84870000004764,5,285.8467000000477,0,6,6,13,1,1.4,0.3,Time
,,573583,001,男,24,2025-06-04_21h02.08.848,Serial_Dependence_U,2023.2.3,Win32,185.18518518438674,,,,,,285.84749999999997,200,0,285.84770000004767,200,,,,289.9812999999523,290.47909999990463,289.4805999999046,289.9812000000477,286.84839999985695,289.4805,290.4792000000476,290.9803999998569,290.9805,296.46359999990466,4810,296.46370000004765,5,297.462,0,7,7,9,1,1.6,0.7,Time
