Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0004000000059534159,0.000600000008915913,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,4.946799999997012,89.28790000000598,space,84.30840000000595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,89.30240000000597,187,0,92.18479999999701,187,s,2.8669000000059555,,95.95820000000296,96.45779999999704,95.45699999999997,95.958,93.19240000000596,95.456799999997,96.45810000000895,96.95640000000597,96.956799999997,98.80670000000296,831,98.80699999999999,1,99.80629999999698,0,0,0,2,1,1.2,0.3,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,99.80699999999999,72,0,99.80960000000894,72,,,,103.78190000000595,104.28170000000299,103.27340000000592,103.78170000000299,100.80699999999999,103.27329999999702,104.28179999999699,104.78099999999998,104.78110000000893,107.79720000000296,1620,107.79729999999702,4,108.79520000000295,0,1,1,23,1,1.4,0.3,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,108.795799999997,333,0,108.79599999999996,333,,,,112.13710000000893,112.63629999999702,111.62940000000597,112.13699999999997,109.795799999997,111.62920000000295,112.63640000000592,113.13690000000597,113.13699999999997,114.82129999999702,531,114.82140000000592,1,115.82129999999702,0,2,2,25,1,0.8,0.7,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,115.82179999999701,158,0,115.82199999999997,158,,,,119.76379999999702,120.26329999999703,119.25550000000001,119.76370000000296,116.82190000000597,119.25540000000595,120.26329999999703,120.7631000000089,120.76320000000297,123.60740000000592,1759,123.60749999999999,4,124.60520000000295,0,3,3,8,1,1.4,0.7,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,124.60570000000294,208,0,124.605799999997,208,,,,127.98870000000298,128.48920000000297,127.48120000000299,127.98860000000892,125.61470000000295,127.48110000000892,128.48929999999703,128.98920000000297,128.98929999999703,131.85610000000892,1609,131.85610000000892,5,132.85810000000893,0,4,4,0,1,0.8,0.3,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,132.85860000000892,136,0,132.858799999997,136,,,,136.4005,136.90029999999703,135.89240000000595,136.40040000000593,133.85929999999703,135.892299999997,136.90029999999703,137.40079999999702,137.40079999999702,138.99249999999998,695,138.99249999999998,1,139.98890000000594,0,5,5,26,1,1,0.7,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,139.98929999999703,260,0,139.9895,260,,,,143.357799999997,143.85599999999997,142.850799999997,143.35770000000295,140.98879999999698,142.85070000000294,143.85599999999997,144.35570000000294,144.35570000000294,147.14240000000595,1668,147.1425,5,148.13829999999703,0,6,6,10,1,0.8,0.3,Time
,,996804,001,女,22,2025-06-04_10h44.04.633,Serial_Dependence_U,2023.2.3,Win32,126.58227848063959,,,,,,148.13890000000598,106,0,148.13920000000294,106,,,,152.32410000000894,152.82320000000297,151.81790000000595,152.32399999999998,149.15,151.81790000000595,152.82329999999703,153.32490000000595,153.32490000000595,155.454700000003,1477,155.454799999997,2,156.454799999997,0,7,7,24,1,1.6,0.3,Time
