Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0006000001430521706,0.0009000000953562903,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,190.28710000014303,587.9599000000953,space,397.64570000004767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,587.9784000000953,139,0,592.8577000000477,139,s,4.854400000095325,,596.4245,596.9239000000954,595.908100000143,596.4243000001908,593.875100000143,595.908,596.9241000001431,597.4239000000954,597.4241000001431,624.7409000000954,432,624.7411000001431,1,625.7402000000477,0,0,0,26,1,1,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,625.7408000001907,253,0,625.7438000001907,253,,,,629.324600000143,629.8231000001431,628.8074000000954,629.3244000000954,626.7409000000954,628.8073000001907,629.8231000001431,630.3234000000954,630.3234000000954,632.924,1132,632.9242000000477,4,633.923100000143,0,1,1,11,1,1,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,633.9235,233,0,633.9237000000477,233,,,,637.273600000143,637.7732000000477,636.7569000000954,637.2735,634.9241000001431,636.7569000000954,637.7732000000477,638.2733000001907,638.2734000000953,642.4398000001908,2581,642.4399000000953,5,643.4395,0,2,2,5,1,0.8,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,643.4398000001908,270,0,643.4399000000953,270,,,,647.023100000143,647.523,646.5067000000477,647.023100000143,644.4402000000476,646.5067000000477,647.523,648.0227000000477,648.0228000001907,651.4063000001908,2866,651.4065,5,652.406100000143,0,3,3,1,1,1,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,652.4065,218,0,652.4065,218,,,,656.3897000000477,656.8892000000477,655.8733000001907,656.3897000000477,653.4065,655.8733000001907,656.8892000000477,657.3892000000477,657.3893000001907,657.839600000143,33,657.8397000000476,1,658.839100000143,0,4,4,3,1,1.4,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,658.8394000000953,10,0,658.8395,10,,,,662.7733000001907,663.2725,662.2729000000953,662.7733000001907,659.8399000000953,662.2729000000953,663.272600000143,663.7727000000477,663.7728000001907,667.6898000001908,3251,667.6899000000953,5,668.6894000000954,0,5,5,18,1,1.4,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,668.6896000001431,93,0,668.6898000001908,93,,,,672.6729000000954,673.1725,672.1562000000476,672.6729000000954,669.6895,672.1562000000476,673.172600000143,673.6727000000477,673.6727000000477,678.389600000143,4093,678.3897000000477,5,679.3889000000954,0,6,6,13,1,1.4,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,679.3892000000477,184,0,679.3894000000954,184,,,,682.7727000000477,683.2724000000953,682.2562000000477,682.7727000000477,680.389600000143,682.2562000000477,683.2725,683.7724000000953,683.7725,689.4557000000477,4151,689.4558000001907,5,690.455600000143,0,7,7,10,1,0.8,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,690.4559000000953,42,0,690.4559000000953,42,,,,694.239100000143,694.7387000000476,693.7226000001431,694.239100000143,691.456100000143,693.7226000001431,694.7387000000476,695.2388000001907,695.2388000001907,698.9388000001908,3582,698.939,5,699.9388000001908,0,8,8,22,1,1.2,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,699.9391000001431,66,0,699.9391000001431,66,,,,703.3226000001431,703.822,702.8058000001907,703.3226000001431,700.9393000001908,702.8058000001907,703.822100000143,704.322100000143,704.322100000143,708.2057000000477,3530,708.2058000001907,5,709.2053000001907,0,9,9,20,1,0.8,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,709.2055,328,0,709.205600000143,328,,,,712.5559000000953,713.0549000000954,712.0389000000954,712.5558000001907,710.2057000000477,712.0389000000954,713.055,713.5552000000476,713.5553000001908,715.9222000000477,2001,715.9223000001907,5,716.9217000000477,0,10,10,25,1,0.8,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,716.9219000000953,133,0,716.922100000143,133,,,,720.6722000000477,721.171600000143,720.1557000000477,720.672100000143,717.9224000000953,720.1557000000477,721.1717000000477,721.6715,721.671600000143,722.7718000001908,661,722.7718000001908,1,723.7717000000476,0,11,11,27,1,1.2,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,723.7719000000953,243,0,723.772,243,,,,727.1388000001907,727.6382000000477,726.6222000000477,727.1388000001907,724.7888000001907,726.6222000000477,727.6382000000477,728.1384000000953,728.1384000000953,729.9384000000954,1096,729.9385,5,730.9384000000954,0,12,12,15,1,0.8,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,730.9386000001431,19,0,730.9388000001908,19,,,,735.0886000001431,735.588,734.5719000000954,735.0885,731.9384000000954,734.5718000001907,735.588,736.0881000001431,736.0882000000477,741.355100000143,2899,741.355100000143,5,742.3543000001907,0,13,13,9,1,1.6,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,742.354600000143,48,0,742.3547000000477,48,,,,746.122,746.6211000001431,745.6218000001908,746.1219000000954,743.3548000001907,745.6217000000477,746.6211000001431,747.1215,747.1215,753.955,2933,753.955,5,754.9544000000953,0,14,14,2,1,1.2,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,754.954600000143,177,0,754.9548000001907,177,,,,758.3548000001907,758.854100000143,757.8381000001431,758.3548000001907,755.9714000000954,757.838,758.854100000143,759.3545,759.3545,759.7212000000477,149,759.7214000000954,1,760.721100000143,0,15,15,0,1,0.8,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,760.7213000001907,91,0,760.7214000000954,91,,,,764.9047000000477,765.4043000001907,764.3885,764.9047000000477,761.7216000001431,764.3884000000953,765.4043000001907,765.9044000000954,765.9044000000954,769.8713000001908,3313,769.8714000000954,5,770.8708000001907,0,16,16,4,1,1.6,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,770.871,42,0,770.8711000001431,42,,,,774.8544000000953,775.3542000000476,774.3383000001908,774.8544000000953,771.8711000001431,774.3382000000477,775.3542000000476,775.8542000000476,775.8543000001907,776.5212000000477,34,776.5213000001908,1,777.5208000001908,0,17,17,23,1,1.4,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,777.5212000000477,302,0,777.5213000001908,302,,,,781.0546000001431,781.554,780.5543000001908,781.0545,778.5213000001908,780.5543000001908,781.554,782.0539000000954,782.0539000000954,784.9709000000954,2331,784.9709000000954,5,785.9707000000477,0,18,18,6,1,1,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,785.971,299,0,785.971100000143,299,,,,789.921100000143,790.4205,789.4043000001907,789.921,786.9713000001907,789.4043000001907,790.4205,790.9207000000476,790.9207000000476,793.2544000000954,1213,793.2545,2,794.253600000143,0,19,19,8,1,1.4,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,794.2539000000953,232,0,794.254,232,,,,797.9877000000477,798.4875,797.4874000000954,797.9876000001431,795.2542000000477,797.4874000000954,798.4876000001431,798.9871000001431,798.9871000001431,800.4373000001907,767,800.4374000000954,1,801.437100000143,0,20,20,17,1,1.2,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,801.4374000000954,52,0,801.4375,52,,,,805.6209000000954,806.1202000000477,805.1043000001907,805.6209000000954,802.437600000143,805.1043000001907,806.1202000000477,806.6203000001907,806.6204000000954,808.987,1788,808.987,4,809.987,0,21,21,24,1,1.6,0.3,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,809.9872000000477,74,0,809.9873000001908,74,,,,814.1374000000953,814.6366000001431,813.6206000001431,814.1373000001907,810.9873000001908,813.6205,814.6366000001431,815.1369000000954,815.1369000000954,816.5372000000477,645,816.5373000001907,1,817.5367000000476,0,22,22,19,1,1.6,0.7,Time
,,158214,001,女,21,2025-06-02_16h29.31.696,Serial_Dependence_U,2023.2.3,Win32,59.880239520968516,,,,,,817.537,176,0,817.537,176,,,,821.4871000001431,821.9867000000477,820.9707000000477,821.4871000001431,818.5372000000477,820.970600000143,821.9867000000477,822.4867000000477,822.4868000001908,824.920600000143,1717,824.920600000143,4,825.9201000001431,0,23,23,28,1,1.4,0.7,Time
